gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	B	DC	Ery	Gran	HSPC	Mono	NK	T
VWF	P04275	False	VWF_HUMAN		CPI-SS0B5E172D4	0.0	0.0	0.0	0.0	0.036	0.002	0.0	0.0
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS08FF78F4C	0.016	0.233	0.085	0.143	0.005	0.349	0.017	0.012
LRPAP1	P30533	False	LRPAP1_HUMAN		CPI-SS0B071ED24	0.297	0.329	0.485	0.663	0.35	0.703	0.307	0.288
PAPLN	O95428	False	PAPLN_HUMAN		CPI-SS0AEA3C14B	0.004	0.013	0.0	0.001	0.0	0.005	0.0	0.0
CSF1	P09603	False	CSF1_HUMAN		CPI-SS068C129D6	0.006	0.0	0.087	0.032	0.076	0.033	0.018	0.002
POMC	P01189	False	POMC_HUMAN		CPI-SS03A447CA2	0.015	0.018	0.071	0.033	0.019	0.017	0.066	0.012
ARPC5	O15511	False	ARPC5_HUMAN		CPI-SS062878498	0.092	0.497	0.351	0.926	0.418	0.61	0.129	0.167
AVP	P01185	False	AVP_HUMAN		CPI-SS0BBCAED13	0.0	0.014	0.0	0.0	0.51	0.0	0.0	0.008
INSR	P06213	False	INSR_HUMAN		CPI-SS0C5FB41E8	0.016	0.063	0.124	0.103	0.048	0.035	0.0	0.002
IL1B	P01584	False	IL1B_HUMAN		CPI-SS0C6448B94	0.016	0.586	0.005	0.282	0.125	1.137	0.0	0.004
MBP	P02686	False	MBP_HUMAN		CPI-SS0C25DA9FF	0.295	0.447	0.145	0.229	0.114	0.44	0.423	0.422
RLN2	P04090	False	RLN2_HUMAN		CPI-SS0BA0457D3	0.006	0.0	0.004	0.0	0.017	0.0	0.0	0.002
PRNP	P04156	False	PRNP_HUMAN		CPI-SS08BC9FF17	0.17	0.409	0.172	0.627	0.195	0.761	0.182	0.204
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS04D87448A	0.256	1.243	0.471	1.259	0.855	1.294	0.342	0.341
POMC	P01189	False	POMC_HUMAN		CPI-SS012FD886E	0.015	0.018	0.071	0.033	0.019	0.017	0.066	0.012
AVP	P01185	False	AVP_HUMAN		CPI-SS010DF4808	0.0	0.014	0.0	0.0	0.51	0.0	0.0	0.008
RLN2	P04090	False	RLN2_HUMAN		CPI-SS0FB2E9FF3	0.006	0.0	0.004	0.0	0.017	0.0	0.0	0.002
SCT	P09683	False	SCT_HUMAN		CPI-SS0C6FEEA14	0.002	0.319	0.0	0.002	0.027	0.001	0.009	0.0
