gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	B	DC	Ery	Gran	HSPC	Mono	NK	T
VWF	P04275	False	VWF_HUMAN		CPI-SS0B5E172D4	0.0	0.0	0.0	0.001	0.0	0.001	0.0	0.0
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS08FF78F4C	0.0	0.385	0.175	0.071	0.086	0.066	0.0	0.0
LRPAP1	P30533	False	LRPAP1_HUMAN		CPI-SS0B071ED24	0.111	0.137	0.204	0.61	0.345	0.545	0.307	0.239
PAPLN	O95428	False	PAPLN_HUMAN		CPI-SS0AEA3C14B	0.0	0.0	0.0	0.007	0.0	0.004	0.0	0.0
CSF1	P09603	False	CSF1_HUMAN		CPI-SS068C129D6	0.0	0.0	0.0	0.003	0.0	0.007	0.0	0.017
POMC	P01189	False	POMC_HUMAN		CPI-SS03A447CA2	0.054	0.0	0.024	0.116	0.142	0.082	0.029	0.062
ARPC5	O15511	False	ARPC5_HUMAN		CPI-SS062878498	0.215	0.41	0.141	0.731	0.545	0.725	0.333	0.191
INSR	P06213	False	INSR_HUMAN		CPI-SS0C5FB41E8	0.0	0.16	0.22	0.145	0.078	0.093	0.0	0.0
IL1B	P01584	False	IL1B_HUMAN		CPI-SS0C6448B94	0.075	0.166	0.314	0.301	0.283	0.688	0.062	0.132
MBP	P02686	False	MBP_HUMAN		CPI-SS0C25DA9FF	0.103	0.096	0.032	0.149	0.183	0.16	0.277	0.364
PRNP	P04156	False	PRNP_HUMAN		CPI-SS08BC9FF17	0.108	0.339	0.089	0.357	0.245	0.374	0.106	0.098
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS04D87448A	0.431	0.868	0.166	0.821	0.753	0.85	0.614	0.516
POMC	P01189	False	POMC_HUMAN		CPI-SS012FD886E	0.054	0.0	0.024	0.116	0.142	0.082	0.029	0.062
SCT	P09683	False	SCT_HUMAN		CPI-SS0C6FEEA14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014
FN1	P02751	False	FN1_HUMAN		CPI-SS0E2696443	0.0	0.0	0.0	0.017	0.0	0.08	0.0	0.0
POMC	P01189	False	POMC_HUMAN		CPI-SS032869B21	0.054	0.0	0.024	0.116	0.142	0.082	0.029	0.062
SCT	P09683	False	SCT_HUMAN		CPI-SS0EC70F078	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014
CALM1	P0DP23	False	CALM1_HUMAN		CPI-SS09F6EBE93	0.926	0.815	0.282	0.892	0.83	0.865	1.361	1.323
PTMA	P06454	False	PTMA_HUMAN		CPI-SS09EF65834	1.609	1.565	1.027	1.508	1.639	1.458	1.549	1.572
POMC	P01189	False	POMC_HUMAN		CPI-SS03F2D0912	0.054	0.0	0.024	0.116	0.142	0.082	0.029	0.062
SCT	P09683	False	SCT_HUMAN		CPI-SS06B1428D4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014
ADM	P35318	False	ADM_HUMAN		CPI-SS07297A3AD	0.0	0.0	0.153	0.191	0.091	0.694	0.014	0.047
INSL3	P51460	False	INSL3_HUMAN		CPI-SS055FC8123	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS0422FB94A	0.431	0.868	0.166	0.821	0.753	0.85	0.614	0.516
POMC	P01189	False	POMC_HUMAN		CPI-SS096DDDCBC	0.054	0.0	0.024	0.116	0.142	0.082	0.029	0.062
CXCL10	P02778	False	CXCL10_HUMAN		CPI-SS094013D10	0.0	0.0	0.035	0.016	0.0	0.033	0.0	0.0
APP	P05067	False	APP_HUMAN		CPI-SS0BCB0DBB3	0.053	0.0	0.023	0.211	0.205	0.115	0.0	0.0
C3	P01024	False	C3_HUMAN		CPI-SS09A4BB81D	0.0	0.0	0.0	0.002	0.0	0.002	0.0	0.0
PF4	P02776	False	PF4_HUMAN		CPI-SS080900D13	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0
CORT	O00230	False	CORT_HUMAN		CPI-SS0E176DAD6	0.0	0.0	0.0	0.001	0.0	0.001	0.0	0.0
C5	P01031	False	C5_HUMAN		CPI-SS0206FC5C4	0.0	0.0	0.0	0.025	0.0	0.02	0.0	0.0
PPBP	P02775	False	PPBP_HUMAN		CPI-SS0B39D5003	0.0	0.0	0.024	0.004	0.0	0.003	0.0	0.0
ANXA1	P04083	False	ANXA1_HUMAN		CPI-SS0833E9829	0.2	1.024	0.299	1.292	0.536	1.422	0.579	0.794
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS0AA82A168	0.431	0.868	0.166	0.821	0.753	0.85	0.614	0.516
CXCL10	P02778	False	CXCL10_HUMAN		CPI-SS080683E15	0.0	0.0	0.035	0.016	0.0	0.033	0.0	0.0
PF4	P02776	False	PF4_HUMAN		CPI-SS01A6823FA	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0
CCL5	P13501	False	CCL5_HUMAN		CPI-SS0BF944C6D	0.015	0.0	0.055	0.461	0.419	0.175	1.388	1.407
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS05E6C34AB	0.431	0.868	0.166	0.821	0.753	0.85	0.614	0.516
APP	P05067	False	APP_HUMAN		CPI-SS09A4576D9	0.053	0.0	0.023	0.211	0.205	0.115	0.0	0.0
PDGFRB	P09619	False	PDGFRB_HUMAN		CPI-SS03FB81012	0.0	0.0	0.0	0.0	0.0	0.001	0.017	0.029
TGFB1	P01137	False	TGFB1_HUMAN		CPI-SS0122128E0	0.28	0.113	0.154	0.487	0.432	0.588	0.662	0.588
ICAM1	P05362	False	ICAM1_HUMAN		CPI-SS086F43A39	0.031	0.141	0.037	0.052	0.0	0.188	0.063	0.079
DPP4	P27487	False	DPP4_HUMAN		CPI-SS0187EE42A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.029
HRAS	P01112	False	HRAS_HUMAN		CPI-SS07D0E29D8	0.043	0.0	0.07	0.052	0.107	0.033	0.046	0.061
ESR1	P03372	False	ESR1_HUMAN		CPI-SS0126A9645	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EPHA2	P29317	False	EPHA2_HUMAN		CPI-SS0398E864A	0.0	0.099	0.0	0.001	0.0	0.0	0.0	0.0
PTGS2	P35354	False	PTGS2_HUMAN		CPI-SS0D4BE9D37	0.0	0.0	0.053	0.052	0.118	0.033	0.033	0.0
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS03666DA7A	0.431	0.868	0.166	0.821	0.753	0.85	0.614	0.516
CCL5	P13501	False	CCL5_HUMAN		CPI-SS0B01D306C	0.015	0.0	0.055	0.461	0.419	0.175	1.388	1.407
CD4	P01730	False	CD4_HUMAN		CPI-SS0ABB32BF0	0.015	0.0	0.024	0.428	0.405	0.363	0.031	0.042
CCL2	P13500	False	CCL2_HUMAN		CPI-SS0B9E7D0EC	0.043	0.096	0.02	0.021	0.0	0.007	0.043	0.0
CCL3	P10147	False	CCL3_HUMAN		CPI-SS0C090A257	0.18	0.038	0.273	0.387	0.263	0.469	1.283	0.68
CCL4	P13236	False	CCL4_HUMAN		CPI-SS0D1D95883	0.164	0.0	0.117	0.057	0.0	0.092	1.084	0.721
CCL3L1	P16619	False	CCL3L1_HUMAN		CPI-SS036B7E46C	0.03	0.0	0.03	0.046	0.0	0.101	0.273	0.178
S100A4	P26447	False	S100A4_HUMAN		CPI-SS05CA2B2B4	0.483	1.235	0.402	1.375	1.199	1.501	1.191	1.092
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS0C39D566E	0.431	0.868	0.166	0.821	0.753	0.85	0.614	0.516
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS00FD788E8	0.431	0.868	0.166	0.821	0.753	0.85	0.614	0.516
MMP2	P08253	False	MMP2_HUMAN		CPI-SS0AE8C3A27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ITGA2B	P08514	False	ITGA2B_HUMAN		CPI-SS01B37D7D8	0.0	0.0	0.0	0.01	0.058	0.002	0.0	0.0
ITGB3	P05106	False	ITGB3_HUMAN		CPI-SS044094057	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0
CTSG	P08311	False	CTSG_HUMAN		CPI-SS072BEC00E	0.0	0.0	0.04	0.582	0.537	0.014	0.0	0.0
GZMA	P12544	False	GZMA_HUMAN		CPI-SS07EA09568	0.0	0.0	0.0	0.014	0.0	0.002	0.895	0.732
