gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	B	DC	Ery	Gran	HSPC	Mono	NK	T
VWF	P04275	False	VWF_HUMAN		CPI-SS0B5E172D4	0.0	0.015	0.0	0.0	0.0	0.003	0.002	0.0
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS08FF78F4C	0.011	0.013	0.373	0.036	0.025	0.039	0.011	0.006
LRPAP1	P30533	False	LRPAP1_HUMAN		CPI-SS0B071ED24	0.281	0.406	0.289	0.693	0.257	0.542	0.45	0.42
PAPLN	O95428	False	PAPLN_HUMAN		CPI-SS0AEA3C14B	0.007	0.012	0.0	0.035	0.0	0.002	0.006	0.006
CSF1	P09603	False	CSF1_HUMAN		CPI-SS068C129D6	0.0	0.0	0.022	0.029	0.133	0.021	0.021	0.032
POMC	P01189	False	POMC_HUMAN		CPI-SS03A447CA2	0.164	0.122	0.169	0.168	0.04	0.13	0.256	0.208
ARPC5	O15511	False	ARPC5_HUMAN		CPI-SS062878498	0.609	1.964	0.505	1.798	0.737	1.965	1.225	1.046
AVP	P01185	False	AVP_HUMAN		CPI-SS0BBCAED13	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0
INSR	P06213	False	INSR_HUMAN		CPI-SS0C5FB41E8	0.008	0.122	0.241	0.298	0.213	0.162	0.004	0.002
IL1B	P01584	False	IL1B_HUMAN		CPI-SS0C6448B94	0.003	0.04	0.021	0.081	0.095	0.198	0.006	0.008
MBP	P02686	False	MBP_HUMAN		CPI-SS0C25DA9FF	0.35	0.584	0.324	0.44	0.26	0.474	1.33	0.922
RLN2	P04090	False	RLN2_HUMAN		CPI-SS0BA0457D3	0.015	0.0	0.0	0.0	0.0	0.0	0.007	0.011
PRNP	P04156	False	PRNP_HUMAN		CPI-SS08BC9FF17	0.18	0.351	0.06	0.64	0.232	0.516	0.252	0.266
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS04D87448A	1.023	1.749	0.232	1.472	0.91	1.916	1.346	1.143
POMC	P01189	False	POMC_HUMAN		CPI-SS012FD886E	0.164	0.122	0.169	0.168	0.04	0.13	0.256	0.208
AVP	P01185	False	AVP_HUMAN		CPI-SS010DF4808	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0
RLN2	P04090	False	RLN2_HUMAN		CPI-SS0FB2E9FF3	0.015	0.0	0.0	0.0	0.0	0.0	0.007	0.011
FN1	P02751	False	FN1_HUMAN		CPI-SS0E2696443	0.024	0.053	0.0	0.108	0.0	0.043	0.004	0.004
POMC	P01189	False	POMC_HUMAN		CPI-SS032869B21	0.164	0.122	0.169	0.168	0.04	0.13	0.256	0.208
AVP	P01185	False	AVP_HUMAN		CPI-SS00D55E7F1	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0
RLN2	P04090	False	RLN2_HUMAN		CPI-SS07D7A06C1	0.015	0.0	0.0	0.0	0.0	0.0	0.007	0.011
CALM1	P0DP23	False	CALM1_HUMAN		CPI-SS09F6EBE93	1.672	1.846	0.29	1.684	0.906	1.854	2.815	2.639
PTMA	P06454	False	PTMA_HUMAN		CPI-SS09EF65834	3.545	3.373	2.375	3.677	3.511	3.341	3.33	3.394
POMC	P01189	False	POMC_HUMAN		CPI-SS03F2D0912	0.164	0.122	0.169	0.168	0.04	0.13	0.256	0.208
AVP	P01185	False	AVP_HUMAN		CPI-SS0921F19C4	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0
RLN2	P04090	False	RLN2_HUMAN		CPI-SS0527B9DF1	0.015	0.0	0.0	0.0	0.0	0.0	0.007	0.011
ADM	P35318	False	ADM_HUMAN		CPI-SS07297A3AD	0.001	0.0	0.0	0.018	0.0	0.034	0.0	0.002
INSL3	P51460	False	INSL3_HUMAN		CPI-SS055FC8123	0.009	0.0	0.0	0.017	0.0	0.0	0.007	0.005
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS0AA82A168	1.023	1.749	0.232	1.472	0.91	1.916	1.346	1.143
CXCL10	P02778	False	CXCL10_HUMAN		CPI-SS080683E15	0.0	0.0	0.0	0.037	0.0	0.0	0.0	0.0
PF4	P02776	False	PF4_HUMAN		CPI-SS01A6823FA	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0
CCL5	P13501	False	CCL5_HUMAN		CPI-SS0BF944C6D	0.059	0.701	0.0	0.446	0.119	0.082	3.43	2.985
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS05E6C34AB	1.023	1.749	0.232	1.472	0.91	1.916	1.346	1.143
APP	P05067	False	APP_HUMAN		CPI-SS09A4576D9	0.143	0.014	0.0	0.019	0.025	0.019	0.002	0.03
PDGFRB	P09619	False	PDGFRB_HUMAN		CPI-SS03FB81012	0.0	0.0	0.0	0.0	0.0	0.006	0.078	0.013
TGFB1	P01137	False	TGFB1_HUMAN		CPI-SS0122128E0	0.384	0.986	0.232	0.921	0.762	1.021	1.1	0.899
ICAM1	P05362	False	ICAM1_HUMAN		CPI-SS086F43A39	0.019	0.088	0.0	0.058	0.033	0.142	0.044	0.028
DPP4	P27487	False	DPP4_HUMAN		CPI-SS0187EE42A	0.0	0.0	0.0	0.0	0.0	0.002	0.004	0.061
HRAS	P01112	False	HRAS_HUMAN		CPI-SS07D0E29D8	0.086	0.097	0.111	0.136	0.075	0.134	0.082	0.095
ESR1	P03372	False	ESR1_HUMAN		CPI-SS0126A9645	0.005	0.0	0.0	0.0	0.0	0.001	0.0	0.003
PTGS2	P35354	False	PTGS2_HUMAN		CPI-SS0D4BE9D37	0.01	0.04	0.034	0.071	0.056	0.05	0.006	0.002
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS03666DA7A	1.023	1.749	0.232	1.472	0.91	1.916	1.346	1.143
CCL5	P13501	False	CCL5_HUMAN		CPI-SS0B01D306C	0.059	0.701	0.0	0.446	0.119	0.082	3.43	2.985
CD4	P01730	False	CD4_HUMAN		CPI-SS0ABB32BF0	0.0	0.273	0.0	0.087	0.054	0.239	0.006	0.097
CCL2	P13500	False	CCL2_HUMAN		CPI-SS0B9E7D0EC	0.006	0.0	0.0	0.0	0.015	0.006	0.007	0.005
CCL3	P10147	False	CCL3_HUMAN		CPI-SS0C090A257	0.006	0.162	0.0	0.434	0.163	0.296	0.475	0.139
CCL4	P13236	False	CCL4_HUMAN		CPI-SS0D1D95883	0.006	0.014	0.021	0.031	0.023	0.05	2.209	1.697
CCL3L1	P16619	False	CCL3L1_HUMAN		CPI-SS036B7E46C	0.008	0.126	0.0	0.189	0.079	0.196	0.537	0.341
S100A4	P26447	False	S100A4_HUMAN		CPI-SS05CA2B2B4	0.458	4.003	0.188	3.561	1.479	4.164	2.869	2.699
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS0C39D566E	1.023	1.749	0.232	1.472	0.91	1.916	1.346	1.143
IGF1	P05019	False	IGF1_HUMAN		CPI-SS0E41702C1	0.025	0.005	0.0	0.0	0.0	0.0	0.0	0.0
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS00FD788E8	1.023	1.749	0.232	1.472	0.91	1.916	1.346	1.143
MMP2	P08253	False	MMP2_HUMAN		CPI-SS0AE8C3A27	0.0	0.0	0.0	0.0	0.263	0.0	0.0	0.0
ITGA2B	P08514	False	ITGA2B_HUMAN		CPI-SS01B37D7D8	0.0	0.012	0.022	0.0	0.0	0.0	0.002	0.003
PRSS2	P07478	False	PRSS2_HUMAN		CPI-SS0A94DAC37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CTSG	P08311	False	CTSG_HUMAN		CPI-SS072BEC00E	0.0	0.116	0.0	1.006	2.355	0.032	0.007	0.01
GZMA	P12544	False	GZMA_HUMAN		CPI-SS07EA09568	0.005	0.014	0.0	0.0	0.044	0.0	2.239	1.931
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS0A3CA0C16	1.023	1.749	0.232	1.472	0.91	1.916	1.346	1.143
FN1	P02751	False	FN1_HUMAN		CPI-SS027E3D40A	0.024	0.053	0.0	0.108	0.0	0.043	0.004	0.004
C5	P01031	False	C5_HUMAN		CPI-SS00581282E	0.0	0.05	0.073	0.015	0.0	0.006	0.0	0.006
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS0BAC17AD7	1.023	1.749	0.232	1.472	0.91	1.916	1.346	1.143
PDGFB	P01127	False	PDGFB_HUMAN		CPI-SS0023122D0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.012
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS085021184	1.023	1.749	0.232	1.472	0.91	1.916	1.346	1.143
PPBP	P02775	False	PPBP_HUMAN		CPI-SS07AB1C381	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0
CXCL8	P10145	False	CXCL8_HUMAN		CPI-SS0698C4DC4	0.0	0.138	0.187	0.158	0.425	0.264	0.065	0.047
CXCL1	P09341	False	CXCL1_HUMAN		CPI-SS0C62E5DD8	0.0	0.005	0.0	0.005	0.033	0.006	0.002	0.001
