gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	B	DC	Ery	Gran	HSPC	Mono	NK	T
VWF	P04275	False	VWF_HUMAN		CPI-SS0B5E172D4	0.0	0.0	0.0	0.0	0.026	0.001	0.0	0.0
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS08FF78F4C	0.003	0.025	0.068	0.045	0.014	0.054	0.002	0.002
LRPAP1	P30533	False	LRPAP1_HUMAN		CPI-SS0B071ED24	0.086	0.174	0.18	0.26	0.215	0.241	0.149	0.126
PAPLN	O95428	False	PAPLN_HUMAN		CPI-SS0AEA3C14B	0.0	0.009	0.0	0.0	0.0	0.005	0.003	0.001
CSF1	P09603	False	CSF1_HUMAN		CPI-SS068C129D6	0.0	0.001	0.129	0.0	0.057	0.0	0.0	0.011
POMC	P01189	False	POMC_HUMAN		CPI-SS03A447CA2	0.031	0.033	0.046	0.025	0.046	0.019	0.03	0.025
ARPC5	O15511	False	ARPC5_HUMAN		CPI-SS062878498	0.377	0.917	0.296	0.91	0.552	0.922	0.558	0.506
AVP	P01185	False	AVP_HUMAN		CPI-SS0BBCAED13	0.0	0.002	0.0	0.0	0.342	0.0	0.0	0.0
INSR	P06213	False	INSR_HUMAN		CPI-SS0C5FB41E8	0.009	0.091	0.174	0.131	0.097	0.086	0.001	0.001
IL1B	P01584	False	IL1B_HUMAN		CPI-SS0C6448B94	0.0	0.035	0.018	0.016	0.178	0.029	0.003	0.004
MBP	P02686	False	MBP_HUMAN		CPI-SS0C25DA9FF	0.177	0.419	0.243	0.146	0.258	0.241	0.679	0.399
RLN2	P04090	False	RLN2_HUMAN		CPI-SS0BA0457D3	0.011	0.0	0.019	0.0	0.024	0.0	0.006	0.007
PRNP	P04156	False	PRNP_HUMAN		CPI-SS08BC9FF17	0.043	0.111	0.117	0.143	0.145	0.194	0.05	0.082
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS04D87448A	0.392	0.852	0.2	0.755	0.526	0.893	0.471	0.431
POMC	P01189	False	POMC_HUMAN		CPI-SS012FD886E	0.031	0.033	0.046	0.025	0.046	0.019	0.03	0.025
AVP	P01185	False	AVP_HUMAN		CPI-SS010DF4808	0.0	0.002	0.0	0.0	0.342	0.0	0.0	0.0
RLN2	P04090	False	RLN2_HUMAN		CPI-SS0FB2E9FF3	0.011	0.0	0.019	0.0	0.024	0.0	0.006	0.007
SCT	P09683	False	SCT_HUMAN		CPI-SS0C6FEEA14	0.003	0.178	0.0	0.0	0.026	0.001	0.0	0.001
FN1	P02751	False	FN1_HUMAN		CPI-SS0E2696443	0.003	0.0	0.006	0.0	0.008	0.001	0.0	0.0
POMC	P01189	False	POMC_HUMAN		CPI-SS032869B21	0.031	0.033	0.046	0.025	0.046	0.019	0.03	0.025
AVP	P01185	False	AVP_HUMAN		CPI-SS00D55E7F1	0.0	0.002	0.0	0.0	0.342	0.0	0.0	0.0
RLN2	P04090	False	RLN2_HUMAN		CPI-SS07D7A06C1	0.011	0.0	0.019	0.0	0.024	0.0	0.006	0.007
SCT	P09683	False	SCT_HUMAN		CPI-SS0EC70F078	0.003	0.178	0.0	0.0	0.026	0.001	0.0	0.001
CALM1	P0DP23	False	CALM1_HUMAN		CPI-SS09F6EBE93	0.692	0.941	0.544	0.83	0.591	0.802	1.258	1.193
PTMA	P06454	False	PTMA_HUMAN		CPI-SS09EF65834	1.57	1.541	1.651	1.607	1.63	1.537	1.52	1.492
POMC	P01189	False	POMC_HUMAN		CPI-SS03F2D0912	0.031	0.033	0.046	0.025	0.046	0.019	0.03	0.025
AVP	P01185	False	AVP_HUMAN		CPI-SS0921F19C4	0.0	0.002	0.0	0.0	0.342	0.0	0.0	0.0
RLN2	P04090	False	RLN2_HUMAN		CPI-SS0527B9DF1	0.011	0.0	0.019	0.0	0.024	0.0	0.006	0.007
SCT	P09683	False	SCT_HUMAN		CPI-SS06B1428D4	0.003	0.178	0.0	0.0	0.026	0.001	0.0	0.001
ADM	P35318	False	ADM_HUMAN		CPI-SS07297A3AD	0.003	0.009	0.0	0.015	0.004	0.049	0.0	0.001
INSL3	P51460	False	INSL3_HUMAN		CPI-SS055FC8123	0.0	0.0	0.0	0.006	0.0	0.002	0.002	0.001
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS0422FB94A	0.392	0.852	0.2	0.755	0.526	0.893	0.471	0.431
POMC	P01189	False	POMC_HUMAN		CPI-SS096DDDCBC	0.031	0.033	0.046	0.025	0.046	0.019	0.03	0.025
CXCL10	P02778	False	CXCL10_HUMAN		CPI-SS094013D10	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0
APP	P05067	False	APP_HUMAN		CPI-SS0BCB0DBB3	0.089	0.334	0.0	0.136	0.146	0.115	0.003	0.016
C3	P01024	False	C3_HUMAN		CPI-SS09A4BB81D	0.0	0.001	0.0	0.0	0.0	0.01	0.0	0.0
PF4	P02776	False	PF4_HUMAN		CPI-SS080900D13	0.0	0.004	0.0	0.005	0.015	0.017	0.001	0.0
CORT	O00230	False	CORT_HUMAN		CPI-SS0E176DAD6	0.0	0.0	0.038	0.01	0.004	0.001	0.0	0.001
C5	P01031	False	C5_HUMAN		CPI-SS0206FC5C4	0.008	0.011	0.0	0.053	0.024	0.009	0.0	0.001
PPBP	P02775	False	PPBP_HUMAN		CPI-SS0B39D5003	0.005	0.005	0.0	0.019	0.02	0.046	0.006	0.002
ANXA1	P04083	False	ANXA1_HUMAN		CPI-SS0833E9829	0.025	0.801	0.07	1.028	0.549	0.834	0.449	0.577
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS0AA82A168	0.392	0.852	0.2	0.755	0.526	0.893	0.471	0.431
CXCL10	P02778	False	CXCL10_HUMAN		CPI-SS080683E15	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0
PF4	P02776	False	PF4_HUMAN		CPI-SS01A6823FA	0.0	0.004	0.0	0.005	0.015	0.017	0.001	0.0
CCL5	P13501	False	CCL5_HUMAN		CPI-SS0BF944C6D	0.019	0.019	0.008	0.018	0.038	0.013	1.097	1.061
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS05E6C34AB	0.392	0.852	0.2	0.755	0.526	0.893	0.471	0.431
APP	P05067	False	APP_HUMAN		CPI-SS09A4576D9	0.089	0.334	0.0	0.136	0.146	0.115	0.003	0.016
PDGFRB	P09619	False	PDGFRB_HUMAN		CPI-SS03FB81012	0.0	0.0	0.0	0.0	0.0	0.003	0.01	0.004
TGFB1	P01137	False	TGFB1_HUMAN		CPI-SS0122128E0	0.153	0.375	0.048	0.328	0.295	0.474	0.52	0.321
ICAM1	P05362	False	ICAM1_HUMAN		CPI-SS086F43A39	0.002	0.079	0.0	0.019	0.004	0.064	0.015	0.005
DPP4	P27487	False	DPP4_HUMAN		CPI-SS0187EE42A	0.0	0.044	0.0	0.0	0.005	0.0	0.003	0.035
HRAS	P01112	False	HRAS_HUMAN		CPI-SS07D0E29D8	0.03	0.05	0.205	0.062	0.055	0.048	0.027	0.039
ESR1	P03372	False	ESR1_HUMAN		CPI-SS0126A9645	0.001	0.002	0.0	0.0	0.01	0.001	0.003	0.002
EPHA2	P29317	False	EPHA2_HUMAN		CPI-SS0398E864A	0.0	0.006	0.0	0.0	0.0	0.0	0.0	0.0
PTGS2	P35354	False	PTGS2_HUMAN		CPI-SS0D4BE9D37	0.003	0.084	0.0	0.029	0.017	0.081	0.001	0.0
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS03666DA7A	0.392	0.852	0.2	0.755	0.526	0.893	0.471	0.431
CCL5	P13501	False	CCL5_HUMAN		CPI-SS0B01D306C	0.019	0.019	0.008	0.018	0.038	0.013	1.097	1.061
CD4	P01730	False	CD4_HUMAN		CPI-SS0ABB32BF0	0.006	0.355	0.02	0.151	0.011	0.318	0.004	0.069
CCL2	P13500	False	CCL2_HUMAN		CPI-SS0B9E7D0EC	0.0	0.002	0.0	0.003	0.0	0.002	0.0	0.001
CCL3	P10147	False	CCL3_HUMAN		CPI-SS0C090A257	0.006	0.013	0.0	0.06	0.016	0.062	0.14	0.057
CCL4	P13236	False	CCL4_HUMAN		CPI-SS0D1D95883	0.01	0.001	0.0	0.005	0.008	0.006	0.474	0.237
CCL3L1	P16619	False	CCL3L1_HUMAN		CPI-SS036B7E46C	0.006	0.007	0.0	0.04	0.005	0.045	0.03	0.051
S100A4	P26447	False	S100A4_HUMAN		CPI-SS05CA2B2B4	0.223	1.249	1.397	1.444	0.845	1.57	1.051	1.278
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS0C39D566E	0.392	0.852	0.2	0.755	0.526	0.893	0.471	0.431
IGF1	P05019	False	IGF1_HUMAN		CPI-SS0E41702C1	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS00FD788E8	0.392	0.852	0.2	0.755	0.526	0.893	0.471	0.431
MMP2	P08253	False	MMP2_HUMAN		CPI-SS0AE8C3A27	0.0	0.0	0.0	0.0	0.026	0.0	0.0	0.0
ITGA2B	P08514	False	ITGA2B_HUMAN		CPI-SS01B37D7D8	0.003	0.001	0.028	0.0	0.138	0.003	0.0	0.001
ITGB3	P05106	False	ITGB3_HUMAN		CPI-SS044094057	0.0	0.0	0.0	0.0	0.009	0.003	0.0	0.0
PRSS2	P07478	False	PRSS2_HUMAN		CPI-SS0A94DAC37	0.0	0.0	0.0	0.0	0.016	0.0	0.0	0.0
CTSG	P08311	False	CTSG_HUMAN		CPI-SS072BEC00E	0.0	0.014	0.0	0.445	0.261	0.012	0.003	0.008
GZMA	P12544	False	GZMA_HUMAN		CPI-SS07EA09568	0.0	0.0	0.046	0.0	0.022	0.001	1.206	0.729
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS0A3CA0C16	0.392	0.852	0.2	0.755	0.526	0.893	0.471	0.431
FN1	P02751	False	FN1_HUMAN		CPI-SS027E3D40A	0.003	0.0	0.006	0.0	0.008	0.001	0.0	0.0
C5	P01031	False	C5_HUMAN		CPI-SS00581282E	0.008	0.011	0.0	0.053	0.024	0.009	0.0	0.001
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS0BAC17AD7	0.392	0.852	0.2	0.755	0.526	0.893	0.471	0.431
PDGFB	P01127	False	PDGFB_HUMAN		CPI-SS0023122D0	0.0	0.019	0.0	0.0	0.002	0.0	0.0	0.011
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS085021184	0.392	0.852	0.2	0.755	0.526	0.893	0.471	0.431
PPBP	P02775	False	PPBP_HUMAN		CPI-SS07AB1C381	0.005	0.005	0.0	0.019	0.02	0.046	0.006	0.002
CXCL8	P10145	False	CXCL8_HUMAN		CPI-SS0698C4DC4	0.01	0.007	0.0	0.022	0.008	0.062	0.011	0.01
CXCL1	P09341	False	CXCL1_HUMAN		CPI-SS0C62E5DD8	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0
CXCL2	P19875	False	CXCL2_HUMAN		CPI-SS040630206	0.0	0.0	0.008	0.003	0.006	0.012	0.001	0.001
CXCL3	P19876	False	CXCL3_HUMAN		CPI-SS0D04AE221	0.0	0.0	0.0	0.0	0.023	0.003	0.0	0.002
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS0DE107E3C	0.392	0.852	0.2	0.755	0.526	0.893	0.471	0.431
PPBP	P02775	False	PPBP_HUMAN		CPI-SS0C491A3C1	0.005	0.005	0.0	0.019	0.02	0.046	0.006	0.002
CXCL8	P10145	False	CXCL8_HUMAN		CPI-SS0315F51DD	0.01	0.007	0.0	0.022	0.008	0.062	0.011	0.01
CXCL1	P09341	False	CXCL1_HUMAN		CPI-SS08102DC9E	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0
CXCL2	P19875	False	CXCL2_HUMAN		CPI-SS0F562FEA5	0.0	0.0	0.008	0.003	0.006	0.012	0.001	0.001
CXCL3	P19876	False	CXCL3_HUMAN		CPI-SS09185EA8F	0.0	0.0	0.0	0.0	0.023	0.003	0.0	0.002
MIF	P14174	False	MIF_HUMAN		CPI-SS0C2B9C062	0.69	0.957	0.951	1.068	1.178	0.761	0.816	0.817
CD74	P04233	False	CD74_HUMAN		CPI-SS001BAA737	1.59	1.677	0.027	1.272	0.96	1.326	0.405	0.371
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS08D8EC856	0.392	0.852	0.2	0.755	0.526	0.893	0.471	0.431
ANXA1	P04083	False	ANXA1_HUMAN		CPI-SS0F739D3DB	0.025	0.801	0.07	1.028	0.549	0.834	0.449	0.577
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS09BED5DD4	0.392	0.852	0.2	0.755	0.526	0.893	0.471	0.431
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS0DE6FCF38	0.392	0.852	0.2	0.755	0.526	0.893	0.471	0.431
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS0CA4C783F	0.392	0.852	0.2	0.755	0.526	0.893	0.471	0.431
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS091AAE861	0.392	0.852	0.2	0.755	0.526	0.893	0.471	0.431
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS03BD27349	0.392	0.852	0.2	0.755	0.526	0.893	0.471	0.431
NRP1	O14786	False	NRP1_HUMAN		CPI-SS03D3108AE	0.0	0.066	0.0	0.0	0.0	0.003	0.0	0.001
CD6	P30203	False	CD6_HUMAN		CPI-SS08991B378	0.003	0.007	0.013	0.0	0.014	0.001	0.025	0.194
S100A9	P06702	False	S100A9_HUMAN		CPI-SS0E873DD1D	0.015	0.654	0.0	1.687	0.095	1.637	0.096	0.069
S100B	P04271	False	S100B_HUMAN		CPI-SS0990BCA45	0.002	0.019	0.0	0.008	0.008	0.006	0.005	0.007
VWF	P04275	False	VWF_HUMAN		CPI-SS03B60356D	0.0	0.0	0.0	0.0	0.026	0.001	0.0	0.0
LRPAP1	P30533	False	LRPAP1_HUMAN		CPI-SS00BC1D7B7	0.086	0.174	0.18	0.26	0.215	0.241	0.149	0.126
APP	P05067	False	APP_HUMAN		CPI-SS01C1F9BD5	0.089	0.334	0.0	0.136	0.146	0.115	0.003	0.016
C3	P01024	False	C3_HUMAN		CPI-SS07BD289CC	0.0	0.001	0.0	0.0	0.0	0.01	0.0	0.0
PF4	P02776	False	PF4_HUMAN		CPI-SS0B6760FAD	0.0	0.004	0.0	0.005	0.015	0.017	0.001	0.0
CALR	P27797	False	CALR_HUMAN		CPI-SS0CA60658F	0.251	0.544	0.878	0.706	0.778	0.393	0.444	0.33
PDGFB	P01127	False	PDGFB_HUMAN		CPI-SS02928C71A	0.0	0.019	0.0	0.0	0.002	0.0	0.0	0.011
LDLR	P01130	False	LDLR_HUMAN		CPI-SS05D25E16C	0.004	0.021	0.098	0.114	0.078	0.044	0.037	0.021
THBS1	P07996	False	THBS1_HUMAN		CPI-SS0B2A7EE22	0.002	0.01	0.0	0.038	0.007	0.266	0.005	0.001
MDK	P21741	False	MDK_HUMAN		CPI-SS006C6537E	0.007	0.007	0.0	0.021	0.213	0.0	0.01	0.005
HSPG2	P98160	False	HSPG2_HUMAN		CPI-SS01611BFB1	0.003	0.008	0.019	0.006	0.042	0.002	0.0	0.001
TFPI	P10646	False	TFPI_HUMAN		CPI-SS02732F2A4	0.0	0.009	0.015	0.012	0.189	0.002	0.001	0.001
F8	P00451	False	F8_HUMAN		CPI-SS0D47CF8AB	0.001	0.002	0.0	0.015	0.006	0.005	0.002	0.005
AGRN	O00468	False	AGRN_HUMAN		CPI-SS031728D8B	0.0	0.002	0.011	0.0	0.01	0.002	0.002	0.001
PLAU	P00749	False	PLAU_HUMAN		CPI-SS0B54D7D88	0.0	0.006	0.012	0.004	0.012	0.002	0.0	0.0
SERPINE1	P05121	False	SERPINE1_HUMAN		CPI-SS08E77BC24	0.0	0.0	0.0	0.0	0.009	0.0	0.0	0.0
LPL	P06858	False	LPL_HUMAN		CPI-SS0F1351371	0.0	0.0	0.0	0.021	0.0	0.02	0.0	0.0
APOA1	P02647	False	APOA1_HUMAN		CPI-SS07FDE0981	0.0	0.023	0.0	0.019	0.052	0.004	0.021	0.009
APOE	P02649	False	APOE_HUMAN		CPI-SS0401F61EA	0.0	0.0	0.161	0.008	0.035	0.002	0.0	0.001
APOC2	P02655	False	APOC2_HUMAN		CPI-SS0DACCF1C5	0.0	0.002	0.0	0.0	0.006	0.0	0.004	0.001
LGALS9	O00182	False	LGALS9_HUMAN		CPI-SS0419B80C4	0.113	0.385	0.382	0.254	0.244	0.348	0.077	0.021
MMP9	P14780	False	MMP9_HUMAN		CPI-SS0B0C9B5EB	0.003	0.0	0.0	0.0	0.002	0.003	0.0	0.0
FCN1	O00602	False	FCN1_HUMAN		CPI-SS0BDEDE435	0.013	0.377	0.0	0.877	0.029	1.189	0.022	0.019
PLAT	P00750	False	PLAT_HUMAN		CPI-SS0CAD4D1F3	0.0	0.005	0.0	0.0	0.0	0.0	0.002	0.003
SERPINA1	P01009	False	SERPINA1_HUMAN		CPI-SS052F44300	0.008	0.225	0.0	0.324	0.027	1.057	0.007	0.003
A2M	P01023	False	A2M_HUMAN		CPI-SS03A1FC511	0.003	0.002	0.0	0.0	0.0	0.0	0.097	0.093
C1QB	P02746	False	C1QB_HUMAN		CPI-SS088CA72FA	0.0	0.005	0.001	0.005	0.01	0.012	0.004	0.005
LTF	P02788	False	LTF_HUMAN		CPI-SS0831A016E	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.002
SERPING1	P05155	False	SERPING1_HUMAN		CPI-SS0C4DE5745	0.004	0.014	0.0	0.018	0.129	0.01	0.011	0.002
SERPINE2	P07093	False	SERPINE2_HUMAN		CPI-SS0BE6345A1	0.003	0.003	0.214	0.0	0.22	0.0	0.029	0.005
PSAP	P07602	False	PSAP_HUMAN		CPI-SS09F7411A6	0.176	0.81	0.376	0.917	0.361	1.257	0.244	0.152
