gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	B	DC	Ery	Gran	HSPC	Mono	NK	T
VWF	P04275	False	VWF_HUMAN		CPI-SS0B5E172D4	0.0	0.004	0.0	0.0	0.041	0.001	0.0	0.0
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS08FF78F4C	0.004	0.197	0.021	0.119	0.0	0.308	0.011	0.003
LRPAP1	P30533	False	LRPAP1_HUMAN		CPI-SS0B071ED24	0.33	0.503	0.478	0.711	0.402	0.704	0.431	0.335
PAPLN	O95428	False	PAPLN_HUMAN		CPI-SS0AEA3C14B	0.014	0.007	0.0	0.004	0.0	0.005	0.0	0.0
CSF1	P09603	False	CSF1_HUMAN		CPI-SS068C129D6	0.0	0.003	0.113	0.02	0.098	0.036	0.0	0.006
POMC	P01189	False	POMC_HUMAN		CPI-SS03A447CA2	0.019	0.026	0.149	0.019	0.058	0.021	0.022	0.04
ARPC5	O15511	False	ARPC5_HUMAN		CPI-SS062878498	0.147	0.786	0.518	1.196	0.639	0.814	0.189	0.173
AVP	P01185	False	AVP_HUMAN		CPI-SS0BBCAED13	0.0	0.001	0.0	0.0	0.617	0.0	0.0	0.018
INSR	P06213	False	INSR_HUMAN		CPI-SS0C5FB41E8	0.041	0.122	0.147	0.169	0.081	0.074	0.0	0.006
IL1B	P01584	False	IL1B_HUMAN		CPI-SS0C6448B94	0.03	0.584	0.006	0.196	0.094	0.853	0.009	0.016
MBP	P02686	False	MBP_HUMAN		CPI-SS0C25DA9FF	0.274	0.466	0.183	0.283	0.116	0.415	0.549	0.541
RLN2	P04090	False	RLN2_HUMAN		CPI-SS0BA0457D3	0.0	0.0	0.017	0.0	0.009	0.0	0.0	0.008
PRNP	P04156	False	PRNP_HUMAN		CPI-SS08BC9FF17	0.196	0.368	0.161	0.491	0.164	0.519	0.219	0.22
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS04D87448A	0.17	1.219	0.47	1.234	0.8	1.375	0.303	0.356
POMC	P01189	False	POMC_HUMAN		CPI-SS012FD886E	0.019	0.026	0.149	0.019	0.058	0.021	0.022	0.04
AVP	P01185	False	AVP_HUMAN		CPI-SS010DF4808	0.0	0.001	0.0	0.0	0.617	0.0	0.0	0.018
RLN2	P04090	False	RLN2_HUMAN		CPI-SS0FB2E9FF3	0.0	0.0	0.017	0.0	0.009	0.0	0.0	0.008
SCT	P09683	False	SCT_HUMAN		CPI-SS0C6FEEA14	0.0	0.162	0.0	0.005	0.0	0.0	0.0	0.0
FN1	P02751	False	FN1_HUMAN		CPI-SS0E2696443	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.0
POMC	P01189	False	POMC_HUMAN		CPI-SS032869B21	0.019	0.026	0.149	0.019	0.058	0.021	0.022	0.04
AVP	P01185	False	AVP_HUMAN		CPI-SS00D55E7F1	0.0	0.001	0.0	0.0	0.617	0.0	0.0	0.018
RLN2	P04090	False	RLN2_HUMAN		CPI-SS07D7A06C1	0.0	0.0	0.017	0.0	0.009	0.0	0.0	0.008
SCT	P09683	False	SCT_HUMAN		CPI-SS0EC70F078	0.0	0.162	0.0	0.005	0.0	0.0	0.0	0.0
