gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	B	DC	Ery	Gran	HSPC	Mono	NK	T
VWF	P04275	False	VWF_HUMAN		CPI-SS0B5E172D4	0.0	0.0	0.0	0.0	0.011	0.004	0.0	0.001
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS08FF78F4C	0.013	0.0	0.226	0.0	0.008	0.049	0.038	0.012
LRPAP1	P30533	False	LRPAP1_HUMAN		CPI-SS0B071ED24	0.096	0.113	0.183	0.214	0.283	0.247	0.2	0.174
CSF1	P09603	False	CSF1_HUMAN		CPI-SS068C129D6	0.005	0.0	0.047	0.0	0.043	0.006	0.0	0.007
POMC	P01189	False	POMC_HUMAN		CPI-SS03A447CA2	0.021	0.067	0.091	0.0	0.124	0.002	0.04	0.011
ARPC5	O15511	False	ARPC5_HUMAN		CPI-SS062878498	0.104	0.392	0.354	0.578	0.315	0.495	0.276	0.18
AVP	P01185	False	AVP_HUMAN		CPI-SS0BBCAED13	0.004	0.0	0.0	0.0	0.115	0.0	0.0	0.002
INSR	P06213	False	INSR_HUMAN		CPI-SS0C5FB41E8	0.0	0.155	0.062	0.164	0.059	0.042	0.005	0.004
IL1B	P01584	False	IL1B_HUMAN		CPI-SS0C6448B94	0.004	0.0	0.008	0.0	0.102	0.145	0.0	0.01
MBP	P02686	False	MBP_HUMAN		CPI-SS0C25DA9FF	0.152	0.089	0.054	0.145	0.169	0.209	0.287	0.342
RLN2	P04090	False	RLN2_HUMAN		CPI-SS0BA0457D3	0.0	0.085	0.0	0.0	0.008	0.0	0.0	0.001
PRNP	P04156	False	PRNP_HUMAN		CPI-SS08BC9FF17	0.143	0.103	0.095	0.273	0.243	0.415	0.141	0.184
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS04D87448A	0.196	0.318	0.15	0.676	0.562	0.789	0.373	0.315
POMC	P01189	False	POMC_HUMAN		CPI-SS012FD886E	0.021	0.067	0.091	0.0	0.124	0.002	0.04	0.011
AVP	P01185	False	AVP_HUMAN		CPI-SS010DF4808	0.004	0.0	0.0	0.0	0.115	0.0	0.0	0.002
RLN2	P04090	False	RLN2_HUMAN		CPI-SS0FB2E9FF3	0.0	0.085	0.0	0.0	0.008	0.0	0.0	0.001
SCT	P09683	False	SCT_HUMAN		CPI-SS0C6FEEA14	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.001
FN1	P02751	False	FN1_HUMAN		CPI-SS0E2696443	0.0	0.0	0.0	0.032	0.002	0.144	0.0	0.006
POMC	P01189	False	POMC_HUMAN		CPI-SS032869B21	0.021	0.067	0.091	0.0	0.124	0.002	0.04	0.011
AVP	P01185	False	AVP_HUMAN		CPI-SS00D55E7F1	0.004	0.0	0.0	0.0	0.115	0.0	0.0	0.002
RLN2	P04090	False	RLN2_HUMAN		CPI-SS07D7A06C1	0.0	0.085	0.0	0.0	0.008	0.0	0.0	0.001
SCT	P09683	False	SCT_HUMAN		CPI-SS0EC70F078	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.001
CALM1	P0DP23	False	CALM1_HUMAN		CPI-SS09F6EBE93	0.929	0.843	0.386	0.804	0.51	0.736	1.148	1.129
PTMA	P06454	False	PTMA_HUMAN		CPI-SS09EF65834	1.628	1.578	1.118	1.608	1.6	1.468	1.567	1.543
POMC	P01189	False	POMC_HUMAN		CPI-SS03F2D0912	0.021	0.067	0.091	0.0	0.124	0.002	0.04	0.011
AVP	P01185	False	AVP_HUMAN		CPI-SS0921F19C4	0.004	0.0	0.0	0.0	0.115	0.0	0.0	0.002
RLN2	P04090	False	RLN2_HUMAN		CPI-SS0527B9DF1	0.0	0.085	0.0	0.0	0.008	0.0	0.0	0.001
SCT	P09683	False	SCT_HUMAN		CPI-SS06B1428D4	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.001
ADM	P35318	False	ADM_HUMAN		CPI-SS07297A3AD	0.019	0.0	0.069	0.02	0.013	0.117	0.015	0.017
INSL3	P51460	False	INSL3_HUMAN		CPI-SS055FC8123	0.0	0.0	0.0	0.0	0.002	0.003	0.0	0.002
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS0422FB94A	0.196	0.318	0.15	0.676	0.562	0.789	0.373	0.315
POMC	P01189	False	POMC_HUMAN		CPI-SS096DDDCBC	0.021	0.067	0.091	0.0	0.124	0.002	0.04	0.011
CXCL10	P02778	False	CXCL10_HUMAN		CPI-SS094013D10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001
APP	P05067	False	APP_HUMAN		CPI-SS0BCB0DBB3	0.052	0.0	0.005	0.0	0.034	0.021	0.032	0.04
C3	P01024	False	C3_HUMAN		CPI-SS09A4BB81D	0.0	0.0	0.0	0.0	0.0	0.153	0.0	0.001
PF4	P02776	False	PF4_HUMAN		CPI-SS080900D13	0.0	0.0	0.037	0.0	0.003	0.002	0.0	0.0
CORT	O00230	False	CORT_HUMAN		CPI-SS0E176DAD6	0.0	0.0	0.0	0.021	0.006	0.0	0.0	0.002
C5	P01031	False	C5_HUMAN		CPI-SS0206FC5C4	0.0	0.0	0.04	0.019	0.003	0.006	0.0	0.001
PPBP	P02775	False	PPBP_HUMAN		CPI-SS0B39D5003	0.005	0.0	0.046	0.0	0.018	0.006	0.0	0.002
ANXA1	P04083	False	ANXA1_HUMAN		CPI-SS0833E9829	0.383	0.793	0.195	1.054	0.955	1.164	0.832	0.75
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS0AA82A168	0.196	0.318	0.15	0.676	0.562	0.789	0.373	0.315
CXCL10	P02778	False	CXCL10_HUMAN		CPI-SS080683E15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001
