gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	B	DC	Ery	Gran	HSPC	Mono	NK	T
VWF	P04275	False	VWF_HUMAN		CPI-SS0B5E172D4	0.0	0.0	0.004	0.0	0.031	0.0	0.0	0.0
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS08FF78F4C	0.011	0.024	0.084	0.058	0.025	0.081	0.014	0.0
LRPAP1	P30533	False	LRPAP1_HUMAN		CPI-SS0B071ED24	0.129	0.296	0.32	0.223	0.22	0.185	0.128	0.121
PAPLN	O95428	False	PAPLN_HUMAN		CPI-SS0AEA3C14B	0.008	0.018	0.008	0.0	0.014	0.007	0.003	0.0
CSF1	P09603	False	CSF1_HUMAN		CPI-SS068C129D6	0.0	0.0	0.256	0.007	0.09	0.001	0.0	0.012
POMC	P01189	False	POMC_HUMAN		CPI-SS03A447CA2	0.024	0.032	0.076	0.032	0.073	0.021	0.034	0.018
ARPC5	O15511	False	ARPC5_HUMAN		CPI-SS062878498	0.257	0.777	0.275	0.67	0.51	0.636	0.389	0.373
AVP	P01185	False	AVP_HUMAN		CPI-SS0BBCAED13	0.0	0.003	0.0	0.0	0.123	0.0	0.0	0.0
INSR	P06213	False	INSR_HUMAN		CPI-SS0C5FB41E8	0.02	0.069	0.179	0.09	0.108	0.052	0.0	0.002
IL1B	P01584	False	IL1B_HUMAN		CPI-SS0C6448B94	0.015	0.11	0.026	0.033	0.187	0.291	0.003	0.001
MBP	P02686	False	MBP_HUMAN		CPI-SS0C25DA9FF	0.158	0.381	0.239	0.166	0.251	0.243	0.482	0.364
RLN2	P04090	False	RLN2_HUMAN		CPI-SS0BA0457D3	0.0	0.0	0.015	0.0	0.033	0.0	0.0	0.002
PRNP	P04156	False	PRNP_HUMAN		CPI-SS08BC9FF17	0.05	0.097	0.144	0.116	0.072	0.108	0.042	0.06
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS04D87448A	0.245	0.707	0.323	0.753	0.541	0.702	0.347	0.323
POMC	P01189	False	POMC_HUMAN		CPI-SS012FD886E	0.024	0.032	0.076	0.032	0.073	0.021	0.034	0.018
AVP	P01185	False	AVP_HUMAN		CPI-SS010DF4808	0.0	0.003	0.0	0.0	0.123	0.0	0.0	0.0
RLN2	P04090	False	RLN2_HUMAN		CPI-SS0FB2E9FF3	0.0	0.0	0.015	0.0	0.033	0.0	0.0	0.002
SCT	P09683	False	SCT_HUMAN		CPI-SS0C6FEEA14	0.0	0.302	0.001	0.007	0.027	0.002	0.0	0.001
FN1	P02751	False	FN1_HUMAN		CPI-SS0E2696443	0.01	0.0	0.006	0.007	0.0	0.003	0.003	0.002
POMC	P01189	False	POMC_HUMAN		CPI-SS032869B21	0.024	0.032	0.076	0.032	0.073	0.021	0.034	0.018
AVP	P01185	False	AVP_HUMAN		CPI-SS00D55E7F1	0.0	0.003	0.0	0.0	0.123	0.0	0.0	0.0
RLN2	P04090	False	RLN2_HUMAN		CPI-SS07D7A06C1	0.0	0.0	0.015	0.0	0.033	0.0	0.0	0.002
SCT	P09683	False	SCT_HUMAN		CPI-SS0EC70F078	0.0	0.302	0.001	0.007	0.027	0.002	0.0	0.001
CALM1	P0DP23	False	CALM1_HUMAN		CPI-SS09F6EBE93	0.551	0.886	0.995	0.901	0.735	0.666	1.124	1.122
PTMA	P06454	False	PTMA_HUMAN		CPI-SS09EF65834	1.464	1.473	1.628	1.558	1.615	1.333	1.366	1.392
POMC	P01189	False	POMC_HUMAN		CPI-SS03F2D0912	0.024	0.032	0.076	0.032	0.073	0.021	0.034	0.018
AVP	P01185	False	AVP_HUMAN		CPI-SS0921F19C4	0.0	0.003	0.0	0.0	0.123	0.0	0.0	0.0
RLN2	P04090	False	RLN2_HUMAN		CPI-SS0527B9DF1	0.0	0.0	0.015	0.0	0.033	0.0	0.0	0.002
SCT	P09683	False	SCT_HUMAN		CPI-SS06B1428D4	0.0	0.302	0.001	0.007	0.027	0.002	0.0	0.001
ADM	P35318	False	ADM_HUMAN		CPI-SS07297A3AD	0.002	0.008	0.005	0.018	0.0	0.027	0.0	0.001
INSL3	P51460	False	INSL3_HUMAN		CPI-SS055FC8123	0.0	0.0	0.0	0.004	0.004	0.0	0.0	0.0
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS0422FB94A	0.245	0.707	0.323	0.753	0.541	0.702	0.347	0.323
POMC	P01189	False	POMC_HUMAN		CPI-SS096DDDCBC	0.024	0.032	0.076	0.032	0.073	0.021	0.034	0.018
CXCL10	P02778	False	CXCL10_HUMAN		CPI-SS094013D10	0.0	0.0	0.0	0.009	0.0	0.007	0.0	0.0
APP	P05067	False	APP_HUMAN		CPI-SS0BCB0DBB3	0.062	0.628	0.011	0.165	0.146	0.104	0.003	0.006
C3	P01024	False	C3_HUMAN		CPI-SS09A4BB81D	0.0	0.0	0.002	0.0	0.006	0.003	0.0	0.0
PF4	P02776	False	PF4_HUMAN		CPI-SS080900D13	0.0	0.0	0.007	0.0	0.058	0.013	0.007	0.0
CORT	O00230	False	CORT_HUMAN		CPI-SS0E176DAD6	0.004	0.006	0.01	0.0	0.009	0.0	0.0	0.0
C5	P01031	False	C5_HUMAN		CPI-SS0206FC5C4	0.004	0.014	0.014	0.018	0.017	0.004	0.007	0.002
PPBP	P02775	False	PPBP_HUMAN		CPI-SS0B39D5003	0.0	0.006	0.006	0.006	0.019	0.036	0.009	0.002
ANXA1	P04083	False	ANXA1_HUMAN		CPI-SS0833E9829	0.047	0.647	0.246	1.055	0.703	1.021	0.55	0.624
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS0AA82A168	0.245	0.707	0.323	0.753	0.541	0.702	0.347	0.323
CXCL10	P02778	False	CXCL10_HUMAN		CPI-SS080683E15	0.0	0.0	0.0	0.009	0.0	0.007	0.0	0.0
PF4	P02776	False	PF4_HUMAN		CPI-SS01A6823FA	0.0	0.0	0.007	0.0	0.058	0.013	0.007	0.0
CCL5	P13501	False	CCL5_HUMAN		CPI-SS0BF944C6D	0.016	0.015	0.011	0.027	0.024	0.024	1.31	1.363
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS05E6C34AB	0.245	0.707	0.323	0.753	0.541	0.702	0.347	0.323
APP	P05067	False	APP_HUMAN		CPI-SS09A4576D9	0.062	0.628	0.011	0.165	0.146	0.104	0.003	0.006
PDGFRB	P09619	False	PDGFRB_HUMAN		CPI-SS03FB81012	0.0	0.0	0.0	0.005	0.0	0.001	0.007	0.0
TGFB1	P01137	False	TGFB1_HUMAN		CPI-SS0122128E0	0.09	0.308	0.118	0.245	0.205	0.292	0.253	0.261
ICAM1	P05362	False	ICAM1_HUMAN		CPI-SS086F43A39	0.009	0.054	0.001	0.004	0.006	0.057	0.003	0.005
DPP4	P27487	False	DPP4_HUMAN		CPI-SS0187EE42A	0.0	0.036	0.0	0.005	0.013	0.001	0.0	0.024
HRAS	P01112	False	HRAS_HUMAN		CPI-SS07D0E29D8	0.028	0.026	0.117	0.06	0.07	0.022	0.028	0.021
